trope_id,name,category,description,raw_tags,include_in_model,notes
action_adventure,Action & Adventure,genre,"Plot-driven stories focused on physical action, danger, and high-stakes journeys.","Action, Adventure",True,
contemporary_fiction,Contemporary / General Fiction,genre,"Stories set roughly in the present day with realistic, non-speculative elements.","Christian Contemporary Fiction, Contemporary, Contemporary Romance, M M Contemporary, Urban, Young Adult Contemporary",True,
fantasy,Fantasy,genre,"Stories with magical or supernatural elements, often in a secondary world.","Christian Fantasy, Comic Fantasy, Dark Fantasy, Epic Fantasy, Fairy Tale, Fantasy, Fantasy Of Manners, Fantasy Romance, Heroic Fantasy, High Fantasy, Historical Fantasy, Isekai, Low Fantasy, M M Fantasy, Paranormal Urban Fantasy, Sci Fi Fantasy, Science Fiction Fantasy, Urban Fantasy, Young Adult Fantasy",True,
science_fiction,Science Fiction,genre,"Stories centered on speculative technology, science, or futuristic settings.","Cyberpunk, Hard Science Fiction, M M Science Fiction, Military Science Fiction, Sci Fi Fantasy, Sci-Fi, Science Fiction, Science Fiction Fantasy, Science Fiction Romance, Space Opera, Steampunk, Young Adult Science Fiction",True,
dystopian_post_apocalyptic,Dystopian / Post-Apocalyptic,genre,"Stories set in collapsed, oppressive, or radically transformed societies.","Aftermath, Apocalypse, Dystopia, Dystopian, Post Apocalyptic, Post-Apocalypse, Utopia",True,
horror,Horror,genre,"Stories intended to frighten or unsettle, often featuring threats or the uncanny.","Erotic Horror, Gothic, Gothic Horror, Gothic Romance, Horror, Slasher, Southern Gothic",True,
mystery_crime_thriller,Mystery / Crime / Thriller,genre,"Stories driven by investigation, crime, or suspenseful high-stakes plots.","Cozy Mystery, Crime, Golden Age Mystery, Historical Mystery, Legal Thriller, Love Inspired Suspense, M M Mystery, Murder Mystery, Mystery, Mystery Thriller, Paranormal Mystery, Psychological Thriller, Romantic Suspense, Spy Thriller, Suspense, Thriller, True Crime",True,
romance,Romance,genre,Stories where a romantic relationship is the primary focus of the plot and resolution.,"African American Romance, Category Romance, Christian Romance, Clean Romance, Contemporary Romance, Erotic Historical Romance, Erotic Paranormal Romance, Erotic Romance, Fantasy Romance, Futuristic Romance, Georgian Romance, Gothic Romance, Harlequin Romance, Historical Romance, Interracial Romance, Lesbian Romance, M F Romance, M M Historical Romance, M M Romance, M M Sports Romance, Manga Romance, Medieval Romance, Military Romance, New Adult Romance, Paranormal Romance, Planetary Romance, Regency Romance, Romance, Science Fiction Romance, Sports Romance, Supernatural Romance, Time Travel Romance, Victorian Romance, Viking Romance, Western Historical Romance, Western Romance, Young Adult Romance",True,
historical_fiction,Historical Fiction,genre,"Stories set primarily in a past era, often engaging with historical events or settings.","Alternate History, Christian Historical Fiction, Historical Fiction, Naval Historical Fiction, Period Piece, Western, Young Adult Historical Fiction",True,
paranormal_supernatural,Paranormal / Supernatural,genre,"Stories featuring ghosts, magic, or supernatural phenomena in otherwise recognizable worlds.","Angels, Demons, Erotic Paranormal Romance, M M Paranormal, Paranormal, Paranormal Mystery, Paranormal Romance, Paranormal Urban Fantasy, Spiritual, Supernatural, Supernatural Romance, Vampires, Witchcraft, Young Adult Paranormal",True,
young_adult_coming_of_age,Young Adult / Coming-of-Age,genre,"Stories focused on teens or young adults navigating identity, growth, and transition.","College/University, Coming Of Age, Coming of Age, Family, Friendship, Kenya, Libya, M M Young Adult, Polyamorous, Polyamory, Royal Air Force, School, Star Trek Voyager, Teenagers, Yaoi, Young Adult, Young Adult Contemporary, Young Adult Fantasy, Young Adult Historical Fiction, Young Adult Paranormal, Young Adult Romance, Young Adult Science Fiction",True,
literary_slice_of_life,Literary / Slice of Life / Philosophical,genre,"Character-driven stories emphasizing interiority, everyday life, and thematic or philosophical depth.","Drama, Literary Criticism, Literary Fiction, Philosophical, Poetry, Slice Of Life, Slice of Life, Surreal, Tragedy",True,
found_family,Found family,story_trope,"Characters form a chosen, close-knit family over the course of the story.","Band of Misfits, Bromance, Found Family, Friendship, Team Bonding, Team as Family",True,
chosen_one_destiny,Chosen one / destiny,story_trope,A character is singled out by prophecy or fate to play a special role.,"Backstory/Origin Story, Chosen One, Destiny, Fate, Good Versus Evil",True,
antihero_morally_grey,Anti-hero / morally grey lead,story_trope,The central character has ambiguous morals or operates outside conventional heroism.,"Anti-Hero, Morally Ambiguous Characters, Morally Grey, Sympathetic Villain",True,
redemption_arc,Redemption arc,story_trope,A character seeks to atone for past harm or wrongdoing.,"Heroes to Villains, Redemption, Regret, Villains to Heroes",True,
revenge_motive,Revenge,story_trope,A character is driven by a desire for revenge or retribution.,"Betrayal, Revenge, Vengeance",True,
