trope_id,name,category,description,raw_tags,include_in_model,notes
action_adventure,Action & Adventure,genre,"Plot-driven stories focused on physical action, danger, and high-stakes journeys.","journey, adventure, epic tale, adventures, quest, saga",True,
contemporary_fiction,Contemporary / General Fiction,genre,"Stories set roughly in the present day with realistic, non-speculative elements.","contemporary novel, set in the present day, modern-day story, modern setting, realistic fiction, quiet character study,  fiction ",True,
fantasy,Fantasy,genre,"Stories with magical or supernatural elements, often in a secondary world.","fantasy world, magical kingdom, epic fantasy, high fantasy, urban fantasy, dark fantasy, wielding magic, ancient prophecy, quest to save, sorcerer, wizard, sorcery, magic, empires, curse",True,
science_fiction,Science Fiction,genre,"Stories centered on speculative technology, science, or futuristic settings.","science fiction, superhero, sci-fi, distant future, space station, space opera, alien invasion, alien, dystopian future, cyberpunk city, advanced technology, parasite, cure, virus, galaxy, near-future, sentient, solar system",True,
dystopian_post_apocalyptic,Dystopian / Post-Apocalyptic,genre,"Stories set in collapsed, oppressive, or radically transformed societies.","dystopian future, dystopian world, totalitarian regime, post-apocalyptic, after the apocalypse, ruined world, dystopia, surviving the end of the world",True,
horror,Horror,genre,"Stories intended to frighten or unsettle, often featuring threats or the uncanny.","horror novel, terrifying, unsettling, haunted house, chilling, nightmarish, unspeakable horror, creeping dread",True,
mystery_crime_thriller,Mystery / Crime / Thriller,genre,"Stories driven by investigation, crime, or suspenseful high-stakes plots.","murder mystery, whodunit, detective novel, private investigator, serial killer, crime thriller, psychological thriller, shocking twist",True,
romance,Romance,genre,Stories where a romantic relationship is the primary focus of the plot and resolution.,"slow-burn romance, enemies to lovers, wlw romance, mlm romance, second chance romance, heartwarming love story, forbidden romance, romantic comedy, swoony romance, grumpy x sunshine, love story, falls in love, falling in love, mate",True,
historical_fiction,Historical Fiction,genre,"Stories set primarily in a past era, often engaging with historical events or settings.","historical novel, set in, war-torn, in the aftermath of the war, period drama, based on true events, rich historical detail, confederate, civil war erakingqueen, monarchy, alternate history, the ton",True,
paranormal_supernatural,Paranormal / Supernatural,genre,"Stories featuring ghosts, magic, or supernatural phenomena in otherwise recognizable worlds.","paranormal romance, supernatural forces, ghostly presence, haunted by spirits, otherworldly, sell her soul, sell his soul, sell their soul, the veil between worlds",True,
young_adult_coming_of_age,Young Adult / Coming-of-Age,genre,"Stories focused on teens or young adults navigating identity, growth, and transition.","young adult novel, coming-of-age story, high school drama, high schoolsenior year, first love, finding her place, finding his place, figuring out who she is, figuring out who he is",True,
literary_slice_of_life,Literary / Slice of Life / Philosophical,genre,"Character-driven stories emphasizing interiority, everyday life, and thematic or philosophical depth.","literary novel, lyrical prose, quiet, introspective, character-driven, slice of life, meditation on, examines grief and memory",True,
found_family,Found family,story_trope,"Characters form a chosen, close-knit family over the course of the story.","found family, makeshift family, chosen family, band of misfits, ragtag group of misfits, unlikely allies become family, tight-knit group, the only family they have left",True,
chosen_one_destiny,Chosen one / destiny,story_trope,A character is singled out by prophecy or fate to play a special role.,"Chosen One, chosen one, prophesied hero, destined to save the world, marked by destiny, marked by fate, ancient prophecy, fate of the world rests",True,
antihero_morally_grey,Anti-hero / morally grey lead,story_trope,The central character has ambiguous morals or operates outside conventional heroism.,"anti-hero, antihero, morally grey, morally gray, morally ambiguous, reluctant hero, reluctant villain, sympathetic villain, does the wrong things for the right reasons, walks the line between good and evil",True,
redemption_arc,Redemption arc,story_trope,A character seeks to atone for past harm or wrongdoing.,"redemption arc, seeking redemption, seeking forgiveness, trying to atone, atone for past mistakes, haunted by his past, haunted by her past, second chance at redemption, trying to make amends",True,
revenge_motive,Revenge,story_trope,A character is driven by a desire for revenge or retribution.,"revenge tale, sworn to avenge, out for revenge, out for blood, driven by vengeance, hell-bent on revenge, hunting down the man who, after the person who ruined, cannot forgive what was done",True,
political_intrigue,Political / court intrigue,story_trope,"Plots driven by court politics, power struggles, and schemes.","political intrigue, court politics, palace intrigue, scheming nobles, plots and betrayals, backroom deals, power struggle, fight for the throne, within the royal court",True,
survival_war,Survival / war,story_trope,"Characters struggle to survive war, conflict, or harsh conditions.","on the front lines, behind enemy lines, in the trenches, war-torn, soilders, Navy, caught in the crossfire, struggling to survive the war, survival in a war zone, refugees fleeing the war",True,
heist_crime_caper,Heist / crime caper,story_trope,Storylines centered on planning and executing a crime or high-stakes mission.,"high-stakes heist, one last job, pull off the perfect heist, crew of thieves, elaborate scheme, criminal mastermind, carefully planned robbery, caper gone wrong",True,
kidnapping_captivity,Kidnapping / captivity,story_trope,"A character is kidnapped, held captive, or otherwise trapped.","kidnapped, abducted, taken hostage, held captive, prisoner in, locked in a basement, cannot escape",True,
school_campus,School / campus story,story_trope,"Stories centered on school, university, or campus life.","boarding school, elite academy, prestigious academy, campus novel, college campus, university life, roommates and exams, dorm life, school, academy",True,
workplace_professional,Workplace / professional setting,story_trope,Stories focused on characters' jobs or professional environments.,"corporate ladder, office politics, high-powered executive, law firm, hospital drama, medical resident, coworkers to lovers,  newsroom ",True,
time_travel_reincarnation,Time travel / reincarnation,story_trope,Characters move through time or live multiple lives.,"time travel, time-travel, time traveler, time traveller, time loop, relives the same day, reliving the same day, wakes up in the past, reincarnation, reborn with memories intact, second life, alternate timeline, multiple timelines, sent back in time",True,
afterlife_ghosts,Afterlife / ghosts,story_trope,"Stories dealing with life after death, spirits, or haunting.","afterlife, lingers between life and death, cross over to the other side, ghostly presence, haunted by ghosts, spirit that refuses to move on",True,
supernatural_creatures,Supernatural creatures,story_trope,Prominent focus on non-human supernatural beings.,"vampire prince, ancient vampire, werewolf pack, werefwolf, vampyre, vampire, fae, fairy, alpha werewolf, shifter pack, dragon shifter, mermaid princess, witch, immortal, giant, zombie, zombies, mummy, mummies, giantess, demon, angel, sea witch, powerful witch, coven of witches, fallen angel, celestial beings",True,
secret_identity_double_life,Secret identity / double life,story_trope,A character hides their true identity or lives a double life.,"secret identity, leads a double life, spymaster, by day he is, spy, spy agency, spies, agent, by dat she is, by night he is, by night she is, masked vigilante, superhero alter ego, spy living under an alias, hiding who she really is, hiding who he really is",True,
road_trip_travel,Road trip / travel adventure,story_trope,Plot structured around a journey or extended travel.,"road trip, cross-country journey, cross country journey, hits the road, travels across the country, backpacking trip, long drive together, on the open road",True,
next_generation_legacy,Next generation / legacy story,story_trope,Focus on children of previous heroes or inheriting a legacy.,"next generation, inheritance, picks up where her mother left off, continues her father's legacy, legacy of his family, family legacy, multi-generational saga, their parents' secrets",True,
lgbtq_lead,LGBTQ+ lead,representation,The primary point-of-view character or central protagonist is LGBTQ+.,"gay protagonist, gay man, gay woman, lesbian heroine, lesbian, sapphic, bisexual protagonist, bi man, bi woman, pansexual, queer love story, queer romance, lgbtq+ lead, lgbtq+ romance",True,
trans_nonbinary_lead,Trans or non-binary lead,representation,"The main character is explicitly described as transgender, non-binary, or gender nonconforming.","trans man, trans woman, transgender man, transgender woman, trans protagonist, nonbinary character, non-binary character, genderqueer, genderfluid, discovering their gender identity, transitioning",True,
bipoc_lead,BIPOC lead,representation,"The main character is Black, Indigenous, or a person of color and this identity is foregrounded.","Black protagonist, Black woman, Black man, African Americans, African American woman, African American man, Asian American heroine, Asian American hero, Latina protagonist, Latino protagonist, Latinx family, Indian boy, Indian girl, Indian, Indigenous girl, Indigenous boy, Native American community, Pacific Islander, story of a young woman of color, story of a young man of color",True,Map specific race/ethnicity tags here; keep raw tags in metadata if you need finer detail.
disabled_lead,Disabled / chronically ill lead,representation,The main character has a physical disability or chronic illness that is explicitly acknowledged.,"wheelchair user, weelchair-bound, bum leg, living with chronic pain, chronic illness, visually impaired, legally blind, hard of hearing, hearing aid, prosthetic leg, mobility aid, disabled protagonist",True,
neurodivergent_lead,Neurodivergent lead,representation,"The main character is autistic, ADHD, dyslexic, or otherwise explicitly described as neurodivergent.","autistic girl, autistic boy, on the spectrum, diagnosed with autism, adhd, attention deficit, struggles with focus, hyperfocus, dyslexic, reading is a struggle, neurodivergent",True,
faith_centered_lead,Faith-centered lead,representation,"Faith, religion, or spiritual practice is central to the main character’s identity or arc.","Christian faith, Christian romance, trusting God, Muslim, Jewish, guided by faith, inspirational romance, inspirational novel, church community, wrestling with her faith, wrestling with his faith",True,
cw_violence_gore,Violence & gore,content_warning,"Contains significant physical violence, combat, or graphic injury.","graphic violence, blood and gore, bloody battle, gruesome scenes, brutal fight, violent attack, tortured for information, torture chamber, war-torn city, shootingschool shooting, explosion",True,
cw_abuse,Abuse,content_warning,"Depicts emotional, physical, or domestic abuse.","abusive relationship, domestic abuse, domestic violence, emotionally abusive partner, physically abusive, controlling partner, manipulative partner, gaslighting, slaves, slavery, human trafficking, raped, rape",True,
cw_bullying_harassment,Bullying & harassment,content_warning,"Includes bullying, harassment, or targeted cruelty toward a character.","relentless bullying, bullied at school, bullied by her classmates, bullying from his teammates, harassed at work, sexual harassment, online harassment",True,
cw_self_harm_suicide,Self-harm & suicide,content_warning,"References or depicts self-harm, suicidal ideation, or suicide attempts.","self-harm, self harm, suicidal thoughts, suicidal ideation, attempts suicide, suicide attempt, tries to end her life, tries to end his life",True,
cw_substance_use,Substance use & addiction,content_warning,"Features problematic use of alcohol or drugs, including addiction.","struggles with addiction, battling addiction, substance abuse, alcoholism, drinking problem, hooked on pills, drug addiction",True,
cw_medical_trauma,Serious illness & medical trauma,content_warning,"Focuses on serious illness, injury, or distressing medical situations.","terminal diagnosis, life-threatening illness, fight against cancer, hospital bed, intensive care unit, near-fatal accident, medical trauma",True,
cw_kidnapping_captivity,Kidnapping & captivity,content_warning,"Involves kidnapping, forced confinement, or captivity.","kidnapped, abducted, taken hostage, held against her will, held against his will, locked in a room, forced captivity, snatched",True,
cw_trauma_ptsd,Trauma & PTSD themes,content_warning,Centers on traumatic experiences and their psychological aftermath.,"haunted by the past, cannot escape her memories, cannot escape his memories, flashbacks to the war, relives the trauma, post-traumatic stress, ptsd, survivor of abuse",True,
